Giá,Địa chỉ,Loại hình nhà ở,Diện tích đất,Chiều ngang,Chiều dài,Số phòng ngủ,Số phòng vệ sinh,Tổng số tầng,Giấy tờ pháp lý
"3,85 tỷ","Đường Trần Hưng Đạo, Phường 2, Quận 5, Tp Hồ Chí Minh","Nhà ngõ, hẻm",21 m²,3 m,7 m,2 phòng,2 phòng,4,Đã có sổ
"16,35 tỷ","01, Phố Hoàng Minh Giám, Phường Trung Hoà, Quận Cầu Giấy, Hà Nội",N/A,N/A,N/A,N/A,3 phòng,3 phòng,N/A,Sổ hồng riêng
21 tỷ,"Đường Nguyễn Duy Dương, Phường 8, Quận 5, Tp Hồ Chí Minh","Nhà mặt phố, mặt tiền",100 m²,5 m,21 m,8 phòng,6 phòng,6,Đã có sổ
"3,65 tỷ","Đường Phan Văn Hớn, Xã Bà Điểm, Huyện Hóc Môn, Tp Hồ Chí Minh","Nhà ngõ, hẻm",68 m²,4 m,17 m,3 phòng,2 phòng,2,Đã có sổ
"5,8 tỷ","Đường Nguyễn Trãi, Phường 1, Quận 5, Tp Hồ Chí Minh","Nhà ngõ, hẻm",33 m²,3.2 m,11 m,3 phòng,4 phòng,4,Đã có sổ
"5,7 tỷ","Đường Nguyễn Trãi, Phường 2, Quận 5, Tp Hồ Chí Minh","Nhà ngõ, hẻm",31 m²,3 m,10.5 m,4 phòng,3 phòng,N/A,Đã có sổ
"7,6 tỷ","Đường Trần Bình Trọng, Phường 1, Quận 5, Tp Hồ Chí Minh","Nhà ngõ, hẻm",38 m²,3 m,13 m,5 phòng,6 phòng,5,Đã có sổ
17 tỷ,"Đường Trần Bình Trọng, Phường 4, Quận 5, Tp Hồ Chí Minh","Nhà ngõ, hẻm",76 m²,N/A,N/A,4 phòng,N/A,N/A,Đã có sổ
"5,3 tỷ","Đường Trần Phú, Phường 9, Quận 5, Tp Hồ Chí Minh","Nhà ngõ, hẻm",33 m²,3.3 m,10 m,7 phòng,4 phòng,4,Đã có sổ
"27,3 tỷ","Đường Nguyễn Trãi, Phường 7, Quận 5, Tp Hồ Chí Minh","Nhà mặt phố, mặt tiền",76 m²,4 m,19 m,2 phòng,2 phòng,2,Đã có sổ
"4,3 tỷ","Đường Bến Mễ Cốc, Phường 15, Quận 8, Tp Hồ Chí Minh","Nhà ngõ, hẻm",40.4 m²,3.6 m,11 m,4 phòng,3 phòng,3,Đã có sổ
"5,8 tỷ","Đường Trần Bình Trọng, Phường 1, Quận 5, Tp Hồ Chí Minh","Nhà ngõ, hẻm",22.3 m²,2.7 m,9 m,4 phòng,3 phòng,3,Đã có sổ
40 tỷ,"Đường Trần Phú, Phường 8, Quận 5, Tp Hồ Chí Minh","Nhà mặt phố, mặt tiền",121 m²,4.5 m,27 m,nhiều hơn 10 phòng,N/A,N/A,Đã có sổ
"6,2 tỷ","Đường Trần Bình Trọng, Phường 1, Quận 5, Tp Hồ Chí Minh","Nhà ngõ, hẻm",21.8 m²,N/A,N/A,4 phòng,4 phòng,3,Đã có sổ
"3,1 tỷ","Đường Cao Đạt, Phường 6, Quận 5, Tp Hồ Chí Minh","Nhà ngõ, hẻm",68 m²,5 m,13.5 m,4 phòng,4 phòng,2,Đã có sổ
"10,6 tỷ","Đường Trần Bình, Phường 2, Quận 5, Tp Hồ Chí Minh","Nhà ngõ, hẻm",56.6 m²,4 m,12.6 m,4 phòng,5 phòng,4,Đã có sổ
"4,5 tỷ","Đường Nguyễn Văn Cừ, Phường 2, Quận 5, Tp Hồ Chí Minh","Nhà ngõ, hẻm",24 m²,3.5 m,7 m,3 phòng,4 phòng,4,Đã có sổ
"7,9 tỷ","Đường An Dương Vương, Phường 3, Quận 5, Tp Hồ Chí Minh","Nhà ngõ, hẻm",58 m²,3.2 m,18 m,4 phòng,4 phòng,4,Đã có sổ
"27,5 tỷ","Đường Ngô Quyền, Phường 8, Quận 5, Tp Hồ Chí Minh","Nhà mặt phố, mặt tiền",82 m²,N/A,N/A,3 phòng,N/A,N/A,Đã có sổ
"9,45 tỷ","Đường Nguyễn Trãi, Phường 7, Quận 5, Tp Hồ Chí Minh","Nhà ngõ, hẻm",43.2 m²,3.6 m,12 m,3 phòng,4 phòng,4,Đã có sổ
"8,2 tỷ","Đường Huỳnh Mẫn Đạt, Phường 5, Quận 5, Tp Hồ Chí Minh","Nhà mặt phố, mặt tiền",31 m²,3.1 m,11.5 m,4 phòng,4 phòng,4,Đã có sổ
"5,88 tỷ","Hẻm 92 Huỳnh Mẫn Đạt, Phường 2, Quận 5, Tp Hồ Chí Minh","Nhà ngõ, hẻm",24 m²,3.5 m,7 m,2 phòng,2 phòng,2,Đã có sổ
"3,98 tỷ","Đường Phùng Hưng, Phường 13, Quận 5, Tp Hồ Chí Minh","Nhà ngõ, hẻm",53.5 m²,5.3 m,10 m,4 phòng,5 phòng,2,Đã có sổ
5 triệu/tháng,"78, Đường Khánh Hội, Phường 4, Quận 4, Tp Hồ Chí Minh",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"4,95 tỷ","Đường Trần Bình Trọng, Phường 1, Quận 5, Tp Hồ Chí Minh","Nhà ngõ, hẻm",30 m²,3 m,10 m,4 phòng,N/A,4,Đã có sổ
"25,5 tỷ","Đường Ký Hòa, Phường 11, Quận 5, Tp Hồ Chí Minh","Nhà mặt phố, mặt tiền",100 m²,4.2 m,25 m,6 phòng,5 phòng,4,Đã có sổ
"5,2 tỷ","Bán Nhà 4 Lầu Đúc BTCT Hẻm 129/nguyễn Trãi P2 Q5., Phường 2, Quận 5, Tp Hồ Chí Minh","Nhà ngõ, hẻm",25.5 m²,3 m,10 m,3 phòng,3 phòng,4,Đã có sổ
"4,8 tỷ","402/68, Đường Xô Viết Nghệ Tĩnh, Phường 25, Quận Bình Thạnh, Tp Hồ Chí Minh","Nhà ngõ, hẻm",36 m²,3.7 m,11 m,4 phòng,3 phòng,3,Đã có sổ
"5,8 tỷ","Đường Nguyễn Biểu, Phường 1, Quận 5, Tp Hồ Chí Minh","Nhà ngõ, hẻm",24 m²,3.1 m,8 m,4 phòng,N/A,N/A,Đã có sổ
"7,2 tỷ","Đường Trần Hưng Đạo, Phường 1, Quận 5, Tp Hồ Chí Minh",Nhà phố liền kề,50 m²,4.3 m,13.3 m,3 phòng,N/A,N/A,Đã có sổ
"4,29 tỷ","Đường Phạm Hữu Chí, Phường 12, Quận 5, Tp Hồ Chí Minh","Nhà ngõ, hẻm",40 m²,4 m,10 m,4 phòng,5 phòng,2,Đã có sổ
13 tỷ,"Đường Nguyễn Tri Phương, Phường 9, Quận 5, Tp Hồ Chí Minh","Nhà ngõ, hẻm",55 m²,4 m,14 m,4 phòng,N/A,4,Đã có sổ
"12,49 tỷ","Đường Nguyễn Tri Phương, Phường 9, Quận 5, Tp Hồ Chí Minh","Nhà ngõ, hẻm",57.4 m²,4.1 m,14 m,5 phòng,N/A,N/A,Đã có sổ
"3,86 tỷ","Đường Phan Văn Trị, Phường 7, Quận 5, Tp Hồ Chí Minh","Nhà ngõ, hẻm",30 m²,3 m,10 m,4 phòng,5 phòng,2,Đã có sổ
"23,5 tỷ","Ngô Quyền, Phường 7, Quận 5, Tp Hồ Chí Minh","Nhà mặt phố, mặt tiền",100 m²,N/A,N/A,3 phòng,N/A,N/A,Đã có sổ
"4,4 tỷ","Đường Võ Văn Kiệt, Phường 1, Quận 5, Tp Hồ Chí Minh","Nhà ngõ, hẻm",23 m²,2.9 m,10.5 m,2 phòng,2 phòng,3,Đã có sổ
"1,85 tỷ","Đường Lê Hồng Phong, Phường 3, Quận 5, Tp Hồ Chí Minh","Nhà ngõ, hẻm",30 m²,4 m,9.5 m,2 phòng,2 phòng,2,Đã có sổ
"5,18 tỷ","Đường Số 20, Phường 5, Quận 5, Tp Hồ Chí Minh","Nhà ngõ, hẻm",44 m²,3.87 m,11.19 m,2 phòng,3 phòng,N/A,Đã có sổ
"4,95 tỷ","Đường Trần Bình Trọng, Phường 1, Quận 5, Tp Hồ Chí Minh","Nhà mặt phố, mặt tiền",24 m²,3 m,8 m,4 phòng,N/A,N/A,Đã có sổ
"9,9 tỷ","Đường Trần Tuấn Khải, Phường 5, Quận 5, Tp Hồ Chí Minh","Nhà mặt phố, mặt tiền",32 m²,N/A,N/A,2 phòng,3 phòng,4,Đã có sổ
"10,8 tỷ","Đường Võ Văn Kiệt, Phường 1, Quận 5, Tp Hồ Chí Minh","Nhà mặt phố, mặt tiền",53 m²,N/A,N/A,5 phòng,N/A,N/A,Đã có sổ
"9,5 tỷ","Đường Nguyễn Trãi, Phường 7, Quận 5, Tp Hồ Chí Minh","Nhà ngõ, hẻm",46 m²,3.68 m,12.8 m,3 phòng,4 phòng,4,Đã có sổ
15 tỷ,"242, Đường Đỗ Ngọc Thạnh, Phường 12, Quận 5, Tp Hồ Chí Minh","Nhà mặt phố, mặt tiền",38.5 m²,3.5 m,11 m,6 phòng,5 phòng,5,Đã có sổ
8 tỷ,"Đường Trần Hưng Đạo, Phường 7, Quận 5, Tp Hồ Chí Minh","Nhà ngõ, hẻm",45.5 m²,3.5 m,13 m,6 phòng,4 phòng,4,Đã có sổ
"4,2 tỷ","Đường An Dương Vương, Phường 4, Quận 5, Tp Hồ Chí Minh","Nhà ngõ, hẻm",36.5 m²,4.1 m,9 m,2 phòng,2 phòng,3,Đã có sổ
"3,6 triệu/tháng","25/18, đất thánh, Phường 6, Quận Tân Bình, Tp Hồ Chí Minh",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"4,05 tỷ","Đường Nguyễn Văn Cừ, Phường 2, Quận 5, Tp Hồ Chí Minh","Nhà ngõ, hẻm",18 m²,3.5 m,6 m,3 phòng,4 phòng,4,Đã có sổ
"3,68 tỷ","Đường Phạm Đôn, Phường 10, Quận 5, Tp Hồ Chí Minh","Nhà ngõ, hẻm",30 m²,3 m,10 m,4 phòng,5 phòng,3,Đã có sổ
"1,86 tỷ","Đường Trần Phú, Phường 4, Quận 5, Tp Hồ Chí Minh","Nhà ngõ, hẻm",10 m²,4 m,11.5 m,2 phòng,2 phòng,2,Đã có sổ
"6,5 tỷ","Đường An Điềm, Phường 10, Quận 5, Tp Hồ Chí Minh","Nhà ngõ, hẻm",60 m²,3.8 m,12 m,2 phòng,2 phòng,N/A,Đã có sổ
"5,6 tỷ","Đường Nguyễn Trãi, Phường 2, Quận 5, Tp Hồ Chí Minh","Nhà ngõ, hẻm",32 m²,3.2 m,10 m,3 phòng,4 phòng,4,Đã có sổ
"4,95 tỷ","Đường Trần Bình Trọng, Phường 1, Quận 5, Tp Hồ Chí Minh","Nhà ngõ, hẻm",28 m²,3.5 m,8 m,4 phòng,N/A,4,Đã có sổ
"4,15 tỷ","Trần Phú, Phường 12, Quận 5, Tp Hồ Chí Minh","Nhà ngõ, hẻm",62.4 m²,4.8 m,13 m,4 phòng,N/A,N/A,Đã có sổ
"3,25 tỷ","Nguyễn Như Hạnh, Phường Thanh Khê Tây, Quận Thanh Khê, Đà Nẵng",N/A,60 m²,4 m,15 m,N/A,N/A,N/A,Đã có sổ
"2,8 tỷ","k 183 tô hiệu, Phường Hòa Minh, Quận Liên Chiểu, Đà Nẵng",N/A,115 m²,6.1 m,N/A,N/A,N/A,N/A,Đã có sổ
"9,45 tỷ","Đường Nguyễn Trãi, Phường 7, Quận 5, Tp Hồ Chí Minh","Nhà ngõ, hẻm",45 m²,3.6 m,13 m,3 phòng,3 phòng,4,Đã có sổ
"4,1 tỷ","Đường Võ Văn Kiệt, Phường 5, Quận 5, Tp Hồ Chí Minh","Nhà ngõ, hẻm",28 m²,3.5 m,8 m,2 phòng,2 phòng,N/A,Đã có sổ
"4,1 tỷ","Đường Nguyễn Văn Cừ, Phường 2, Quận 5, Tp Hồ Chí Minh","Nhà ngõ, hẻm",19 m²,3.5 m,7 m,3 phòng,3 phòng,N/A,Đã có sổ
"13,5 tỷ","Đường An Dương Vương, Phường 9, Quận 5, Tp Hồ Chí Minh","Nhà ngõ, hẻm",50 m²,3.8 m,13 m,4 phòng,4 phòng,4,Đã có sổ
"1,5 tỷ","873, Đường Trần Hưng Đạo, Phường 1, Quận 5, Tp Hồ Chí Minh","Nhà ngõ, hẻm",12 m²,3 m,4 m,1 phòng,1 phòng,N/A,Sổ chung / công chứng vi bằng
"5,1 tỷ","Đường Nguyễn Trãi, Phường 2, Quận 5, Tp Hồ Chí Minh","Nhà ngõ, hẻm",29 m²,3.1 m,9.5 m,3 phòng,N/A,N/A,Đã có sổ
35 tỷ,"15, Đường Nguyễn Thi, Phường 13, Quận 5, Tp Hồ Chí Minh","Nhà mặt phố, mặt tiền",130 m²,3.7 m,35 m,4 phòng,4 phòng,3,Đã có sổ
"31,5 tỷ","Đường Trần Bình Trọng, Phường 4, Quận 5, Tp Hồ Chí Minh","Nhà mặt phố, mặt tiền",100 m²,5 m,20 m,3 phòng,N/A,N/A,Đã có sổ
"2,3 tỷ","Đường Trần Tuấn Khải, Phường 5, Quận 5, Tp Hồ Chí Minh","Nhà ngõ, hẻm",55 m²,N/A,N/A,4 phòng,N/A,N/A,Đã có sổ
"4,18 tỷ","Đường Bùi Hữu Nghĩa, Phường 5, Quận 5, Tp Hồ Chí Minh","Nhà ngõ, hẻm",51.6 m²,5.1 m,10 m,4 phòng,4 phòng,2,Đã có sổ
"7,2 tỷ","An Dương Vương, Phường 9, Quận 5, Tp Hồ Chí Minh","Nhà ngõ, hẻm",55 m²,5 m,11 m,3 phòng,4 phòng,3,Đã có sổ
"2,25 tỷ","Đường Nguyễn Trãi, Phường 11, Quận 5, Tp Hồ Chí Minh","Nhà ngõ, hẻm",11 m²,N/A,N/A,3 phòng,3 phòng,2,Đã có sổ
13 triệu/tháng,"Đường Nguyễn Thái Sơn, Phường 5, Quận Gò Vấp, Tp Hồ Chí Minh","Nhà ngõ, hẻm",42 m²,3.5 m,12 m,3 phòng,3 phòng,2,Đã có sổ
"6,6 tỷ","Đường Nguyễn Trãi, Phường 2, Quận 5, Tp Hồ Chí Minh","Nhà ngõ, hẻm",24 m²,3.6 m,7 m,2 phòng,3 phòng,N/A,Đã có sổ
"16,5 tỷ","Đường Nguyễn Tri Phương, Phường 6, Quận 5, Tp Hồ Chí Minh","Nhà mặt phố, mặt tiền",44 m²,4.5 m,11 m,7 phòng,6 phòng,6,Đã có sổ
"3,18 tỷ","Hem 977/5 Trần Hung Đạo , Phường 5, Quận 5, Tp Hồ Chí Minh","Nhà ngõ, hẻm",16.2 m²,3 m,6 m,3 phòng,2 phòng,N/A,Đã có sổ
"3,95 tỷ","HẺM ĐẸP 1 XẸT SÁT MẶT TIỀN, TRẦN PHÚ, Phường 4, Quận 5, Tp Hồ Chí Minh","Nhà ngõ, hẻm",21 m²,3 m,7 m,2 phòng,2 phòng,2,Đã có sổ
"2,32 tỷ","Đường Bà Triệu, Phường 5, Quận 5, Tp Hồ Chí Minh","Nhà ngõ, hẻm",10 m²,N/A,N/A,5 phòng,N/A,3,Đã có sổ
"4,83 tỷ","Đường Ngô Gia Tự, Phường 9, Quận 5, Tp Hồ Chí Minh","Nhà ngõ, hẻm",40 m²,4 m,10 m,4 phòng,5 phòng,2,Đã có sổ
"10,299 tỷ","Đường Võ Văn Kiệt, Phường 1, Quận 5, Tp Hồ Chí Minh","Nhà ngõ, hẻm",52 m²,3.8 m,14 m,7 phòng,5 phòng,5,Đã có sổ
"18,35 tỷ","Đường An Dương Vương, Phường 8, Quận 5, Tp Hồ Chí Minh","Nhà mặt phố, mặt tiền",66 m²,4.4 m,17 m,2 phòng,1 phòng,2,Đã có sổ
26 tỷ,"Đường Trần Tuấn Khải, Phường 5, Quận 5, Tp Hồ Chí Minh","Nhà mặt phố, mặt tiền",75 m²,4 m,19 m,8 phòng,Nhiều hơn 6 phòng,3,Đã có sổ
9 tỷ,"Đường Trần Hưng Đạo, Phường 1, Quận 5, Tp Hồ Chí Minh","Nhà ngõ, hẻm",55 m²,5 m,12 m,3 phòng,N/A,2,Đã có sổ
"3,18 tỷ","Đường Trần Hưng Đạo, Phường 5, Quận 5, Tp Hồ Chí Minh","Nhà ngõ, hẻm",18 m²,3 m,6 m,3 phòng,2 phòng,N/A,Đã có sổ
"2,38 tỷ","Bình Tiên, Phường 8, Quận 5, Tp Hồ Chí Minh","Nhà ngõ, hẻm",16 m²,2.5 m,7 m,2 phòng,1 phòng,2,Đã có sổ
"2,5 tỷ","Đường Ngô Gia Tự, Phường 9, Quận 5, Tp Hồ Chí Minh","Nhà ngõ, hẻm",56 m²,N/A,N/A,4 phòng,N/A,N/A,Đã có sổ
"3,89 tỷ","Đường Nguyễn Trãi, Phường 7, Quận 5, Tp Hồ Chí Minh","Nhà ngõ, hẻm",30 m²,3 m,10 m,5 phòng,6 phòng,3,Đã có sổ
"5,8 tỷ","Đường Huỳnh Mẫn Đạt, Phường 7, Quận 5, Tp Hồ Chí Minh","Nhà ngõ, hẻm",54.7 m²,5 m,11 m,2 phòng,2 phòng,3,Đã có sổ
"14,5 tỷ","Đường Nguyễn Biểu, Phường 2, Quận 5, Tp Hồ Chí Minh","Nhà mặt phố, mặt tiền",40 m²,3.3 m,12 m,10 phòng,Nhiều hơn 6 phòng,N/A,Đã có sổ
"11,5 tỷ","Đường Nguyễn Trãi, Phường 7, Quận 5, Tp Hồ Chí Minh",Nhà phố liền kề,58 m²,N/A,N/A,2 phòng,N/A,4,Đã có sổ
"9,7 tỷ","Đường Nguyễn Biểu, Phường 1, Quận 5, Tp Hồ Chí Minh","Nhà ngõ, hẻm",52 m²,4 m,13 m,4 phòng,3 phòng,N/A,Đã có sổ
"7,5 tỷ","Đường Đỗ Ngọc Thạnh, Phường 14, Quận 5, Tp Hồ Chí Minh","Nhà ngõ, hẻm",40 m²,3.4 m,11 m,5 phòng,5 phòng,4,Đã có sổ
"7,2 tỷ","Đường Trần Phú, Phường 4, Quận 5, Tp Hồ Chí Minh","Nhà ngõ, hẻm",43 m²,3.3 m,13 m,4 phòng,3 phòng,3,Đã có sổ
"6,3 tỷ","Đường Trần Hưng Đạo, Phường 2, Quận 5, Tp Hồ Chí Minh","Nhà ngõ, hẻm",24 m²,3 m,8 m,3 phòng,4 phòng,4,Đã có sổ
12 tỷ,"Đường Nguyễn Tri Phương, Phường 9, Quận 5, Tp Hồ Chí Minh",Nhà phố liền kề,60 m²,4 m,15 m,5 phòng,N/A,5,Đã có sổ
"11,7 tỷ","Đường Nguyễn Tri Phương, Phường 9, Quận 5, Tp Hồ Chí Minh","Nhà ngõ, hẻm",56 m²,4 m,14 m,4 phòng,5 phòng,5,Đã có sổ
9 tỷ,"Đường Nguyễn Văn Cừ, Phường 1, Quận 5, Tp Hồ Chí Minh","Nhà ngõ, hẻm",50 m²,5 m,10 m,3 phòng,N/A,N/A,Đã có sổ
"9,5 tỷ","Đường Nguyễn Trãi, Phường 7, Quận 5, Tp Hồ Chí Minh","Nhà ngõ, hẻm",47 m²,3.6 m,13 m,3 phòng,4 phòng,4,Đã có sổ
"4,5 tỷ","Đường Nguyễn Văn Cừ, Phường 2, Quận 5, Tp Hồ Chí Minh","Nhà ngõ, hẻm",24.5 m²,3.5 m,7 m,3 phòng,3 phòng,4,Đã có sổ
14 tỷ,"Đường Nguyễn Biểu, Phường 2, Quận 5, Tp Hồ Chí Minh","Nhà mặt phố, mặt tiền",39 m²,3.3 m,12 m,10 phòng,Nhiều hơn 6 phòng,5,Đã có sổ
"4,2 tỷ","Đường Cao Đạt, Phường 4, Quận 5, Tp Hồ Chí Minh",Nhà phố liền kề,68.8 m²,4.3 m,16 m,4 phòng,N/A,N/A,Đã có sổ
"2,3 tỷ","Đường Trần Phú, Phường 9, Quận 5, Tp Hồ Chí Minh","Nhà ngõ, hẻm",15 m²,3 m,5 m,1 phòng,2 phòng,2,Đã có sổ
"9,2 tỷ","An Dương Vương, Phường 4, Quận 5, Tp Hồ Chí Minh","Nhà ngõ, hẻm",40 m²,3.7 m,10 m,5 phòng,5 phòng,5,Đã có sổ
"6,1 tỷ","Đường Trần Hưng Đạo, Phường 5, Quận 5, Tp Hồ Chí Minh","Nhà ngõ, hẻm",45 m²,N/A,N/A,2 phòng,2 phòng,2,Đã có sổ
10 tỷ,"Đường Huỳnh Mẫn Đạt, Phường 7, Quận 5, Tp Hồ Chí Minh","Nhà mặt phố, mặt tiền",30 m²,N/A,N/A,6 phòng,6 phòng,N/A,Đã có sổ
12 tỷ,"Đường An Dương Vương, Phường 9, Quận 5, Tp Hồ Chí Minh","Nhà ngõ, hẻm",48.1 m²,N/A,N/A,2 phòng,N/A,3,Đã có sổ
"7,5 tỷ","Đường Trần Hưng Đạo, Phường 2, Quận 5, Tp Hồ Chí Minh","Nhà ngõ, hẻm",27 m²,3 m,9 m,3 phòng,4 phòng,N/A,Đã có sổ
"6,3 tỷ","Đường Trần Hưng Đạo, Phường 1, Quận 5, Tp Hồ Chí Minh","Nhà ngõ, hẻm",32 m²,3 m,11 m,3 phòng,3 phòng,3,Đã có sổ
"9,8 tỷ","Đường Trần Hưng Đạo, Phường 1, Quận 5, Tp Hồ Chí Minh","Nhà ngõ, hẻm",50 m²,4.4 m,13 m,6 phòng,4 phòng,4,Đã có sổ
"4,99 tỷ","Đường Nguyễn Trãi, Phường 2, Quận 5, Tp Hồ Chí Minh","Nhà ngõ, hẻm",34 m²,3.2 m,11 m,3 phòng,3 phòng,3,Đã có sổ
"19,5 tỷ","Trần Bình Trọng, Phường 3, Quận 5, Tp Hồ Chí Minh","Nhà ngõ, hẻm",63 m²,8 m,8 m,4 phòng,4 phòng,5,Đã có sổ
4 tỷ,"Đường Nguyễn Văn Cừ, Phường 2, Quận 5, Tp Hồ Chí Minh","Nhà ngõ, hẻm",15.6 m²,3.5 m,5 m,3 phòng,4 phòng,4,Đã có sổ
21 tỷ,"Đường Võ Văn Kiệt, Phường 6, Quận 5, Tp Hồ Chí Minh","Nhà mặt phố, mặt tiền",136 m²,N/A,N/A,2 phòng,N/A,N/A,Đã có sổ
"7,59 tỷ","Đường Trần Bình Trọng, Phường 1, Quận 5, Tp Hồ Chí Minh","Nhà ngõ, hẻm",38 m²,3 m,13.8 m,6 phòng,N/A,5,Đã có sổ
"12,499 tỷ","Đường An Dương Vương, Phường 9, Quận 5, Tp Hồ Chí Minh","Nhà ngõ, hẻm",48 m²,3.7 m,13 m,3 phòng,2 phòng,3,Đã có sổ
"5,9 triệu/tháng","Đường Điện Biên Phủ, Phường 25, Quận Bình Thạnh, Tp Hồ Chí Minh",N/A,N/A,N/A,N/A,1 phòng,1 phòng,N/A,Hợp đồng đặt cọc
"1,85 tỷ","22/43, Đường Nguyễn Thời Trung, Phường 7, Quận 5, Tp Hồ Chí Minh","Nhà ngõ, hẻm",14.4 m²,3.1 m,4.65 m,2 phòng,1 phòng,3,Đã có sổ
"2,95 tỷ","Đường Trần Tuấn Khải, Phường 5, Quận 5, Tp Hồ Chí Minh","Nhà ngõ, hẻm",30 m²,3 m,10 m,2 phòng,2 phòng,2,Đã có sổ
"3,18 tỷ","Hẻm 977/5 Trần Hưng Đạo , Phường 5, Quận 5, Tp Hồ Chí Minh","Nhà ngõ, hẻm",16.2 m²,3 m,6 m,3 phòng,2 phòng,N/A,Đã có sổ
"3,89 tỷ","Đường Phước Hưng, Phường 8, Quận 5, Tp Hồ Chí Minh","Nhà ngõ, hẻm",50 m²,4.5 m,11 m,4 phòng,4 phòng,2,Đã có sổ
"10,599 tỷ","Đường Trần Bình Trọng, Phường 2, Quận 5, Tp Hồ Chí Minh","Nhà ngõ, hẻm",57 m²,4 m,12.6 m,4 phòng,5 phòng,4,Đã có sổ
"15,5 tỷ","Đường Phù Đổng Thiên Vương, Phường 11, Quận 5, Tp Hồ Chí Minh","Nhà mặt phố, mặt tiền",72 m²,4 m,18 m,3 phòng,2 phòng,N/A,Đã có sổ
"6,8 tỷ","Đường Trần Bình Trọng, Phường 1, Quận 5, Tp Hồ Chí Minh","Nhà ngõ, hẻm",25.5 m²,3.35 m,8.5 m,2 phòng,3 phòng,N/A,Đã có sổ
"12,8 tỷ","Đường Trần Hưng Đạo, Phường 7, Quận 5, Tp Hồ Chí Minh","Nhà ngõ, hẻm",62 m²,4 m,16 m,4 phòng,4 phòng,4,Đã có sổ
"7,6 tỷ","Đường Võ Văn Kiệt, Phường 6, Quận 5, Tp Hồ Chí Minh","Nhà ngõ, hẻm",45.3 m²,3.8 m,13 m,3 phòng,4 phòng,3,Đã có sổ
"6,8 tỷ","Võ Trường Toản, Phường 14, Quận 5, Tp Hồ Chí Minh","Nhà ngõ, hẻm",33.8 m²,3.1 m,13 m,4 phòng,5 phòng,5,Đã có sổ
"9,5 tỷ","Đường Nguyễn Trãi, Phường 7, Quận 5, Tp Hồ Chí Minh","Nhà ngõ, hẻm",44 m²,3.5 m,12 m,5 phòng,6 phòng,5,Đã có sổ
"1,95 tỷ","718/3/, Đường Trần Hưng Đạo, Phường 2, Quận 5, Tp Hồ Chí Minh","Nhà ngõ, hẻm",18 m²,3.3 m,6 m,2 phòng,1 phòng,N/A,Đã có sổ
"10,799 tỷ","Đường Trần Hưng Đạo, Phường 1, Quận 5, Tp Hồ Chí Minh","Nhà ngõ, hẻm",51 m²,3.8 m,14 m,9 phòng,Nhiều hơn 6 phòng,5,Đã có sổ
"12,5 tỷ","Đường An Dương Vương, Phường 9, Quận 5, Tp Hồ Chí Minh","Nhà ngõ, hẻm",50 m²,N/A,N/A,4 phòng,N/A,N/A,Đã có sổ
"11,8 tỷ","Đường Nguyễn Trãi, Phường 7, Quận 5, Tp Hồ Chí Minh","Nhà ngõ, hẻm",58 m²,4 m,14.5 m,4 phòng,4 phòng,2,Đã có sổ
"7,43 tỷ","Đường Tỉnh lộ 10, Phường Bình Trị Đông B, Quận Bình Tân, Tp Hồ Chí Minh",Nhà phố liền kề,76 m²,4 m,19 m,4 phòng,3 phòng,N/A,Đã có sổ
"8,5 tỷ","Đường Phan Huy Chú, Phường 10, Quận 5, Tp Hồ Chí Minh","Nhà ngõ, hẻm",47 m²,N/A,N/A,6 phòng,6 phòng,N/A,Đã có sổ
"1,85 tỷ","22/43, Đường Nguyễn Thời Trung, Phường 7, Quận 5, Tp Hồ Chí Minh","Nhà ngõ, hẻm",14.6 m²,3.15 m,4.65 m,2 phòng,1 phòng,3,Đã có sổ
"4,88 tỷ","Đường Nguyễn Biểu, Phường 2, Quận 5, Tp Hồ Chí Minh","Nhà ngõ, hẻm",40 m²,4 m,10 m,4 phòng,5 phòng,2,Đã có sổ
"22,3 tỷ","Đường Trần Hưng Đạo, Phường 3, Quận 5, Tp Hồ Chí Minh","Nhà ngõ, hẻm",120 m²,5 m,23 m,3 phòng,3 phòng,2,Đã có sổ
"5,05 tỷ","Đường Nguyễn Trãi, Phường 2, Quận 5, Tp Hồ Chí Minh","Nhà ngõ, hẻm",26 m²,3.1 m,9.5 m,2 phòng,3 phòng,3,Đã có sổ
"5,8 tỷ","Đường Trần Hưng Đạo, Phường 1, Quận 5, Tp Hồ Chí Minh","Nhà ngõ, hẻm",24 m²,3 m,8 m,3 phòng,3 phòng,5,Đã có sổ
"8,1 tỷ","Đường Trần Hưng Đạo, Phường 7, Quận 5, Tp Hồ Chí Minh","Nhà ngõ, hẻm",48 m²,4 m,12 m,3 phòng,3 phòng,2,Đã có sổ
"15,5 tỷ","Đường Trần Hưng Đạo, Phường 7, Quận 5, Tp Hồ Chí Minh","Nhà mặt phố, mặt tiền",100 m²,4 m,25 m,2 phòng,2 phòng,N/A,Đã có sổ
"7,888 tỷ","Đường Trần Hưng Đạo, Phường 1, Quận 5, Tp Hồ Chí Minh","Nhà ngõ, hẻm",40 m²,N/A,N/A,3 phòng,N/A,N/A,Đã có sổ
